Protocol,NFlows,Error Rate,Aggregate Goodput (Mbps)
TcpCubic,1,1e-05,1.02123
TcpCubic,1,5e-05,1.0134
TcpCubic,1,0.0001,0.894693
TcpCubic,1,0.0005,0.0725962
TcpCubic,1,0.001,0.0493137
TcpCubic,2,1e-05,1.04322
TcpCubic,2,5e-05,0.985492
TcpCubic,2,0.0001,1.03351
TcpCubic,2,0.0005,0.351367
TcpCubic,2,0.001,0.0507958
TcpCubic,4,1e-05,1.04944
TcpCubic,4,5e-05,1.02198
TcpCubic,4,0.0001,0.951992
TcpCubic,4,0.0005,0.432588
TcpCubic,4,0.001,0.0966232
TcpNewReno,1,1e-05,1.03738
TcpNewReno,1,5e-05,0.694865
TcpNewReno,1,0.0001,0.31075
TcpNewReno,1,0.0005,0.0283318
TcpNewReno,1,0.001,0.00966737
TcpNewReno,2,1e-05,1.03906
TcpNewReno,2,5e-05,0.983065
TcpNewReno,2,0.0001,0.503638
TcpNewReno,2,0.0005,0.0468109
TcpNewReno,2,0.001,0.0224051
TcpNewReno,4,1e-05,1.04367
TcpNewReno,4,5e-05,1.02151
TcpNewReno,4,0.0001,0.888111
TcpNewReno,4,0.0005,0.0637238
TcpNewReno,4,0.001,0.0316598
